literature_id,reaction_id,factor_name
PMID32033404,reaction_1,Copper
PMID32033404,reaction_2,Copper
PMID32036315,reaction_1,Fe(II)
PMID32036315,reaction_2,Fe(II)
PMID32036315,reaction_3,Fe(II)
PMID32036315,reaction_4,Fe(II)
PMID32036315,reaction_5,Fe(II)
PMID32041093,reaction_1,Glucose-6-phosphate
PMID32042199,reaction_1,NAD(P)H
PMID32042199,reaction_1,NAD(P)+
PMID32042199,reaction_2,MgCl2
PMID32044025,reaction_1,"molybdopterin cytosine dinucleotide (MCD, required cofactor)"
PMID32044025,reaction_1,GroES-EL
PMID32044030,reaction_1,formate dehydrogenase (for NADH regeneration)
PMID32044030,reaction_1,glucose dehydrogenase (for NADPH regeneration)
PMID32051560,reaction_1,Fe(II)
PMID32051560,reaction_1,Ascorbic acid
PMID32051560,reaction_2,Fe(II)
PMID32051560,reaction_2,Ascorbic acid
PMID32051560,reaction_3,Fe(II)
PMID32051560,reaction_3,Ascorbic acid
PMID32051560,reaction_4,Fe(II)
PMID32051560,reaction_4,Ascorbic acid
PMID32051560,reaction_5,Fe(II)
PMID32051560,reaction_5,Ascorbic acid
PMID32051772,reaction_1,Phenazine methylsulfate (PMS)
PMID32051772,reaction_1,sodium dithionite
PMID32051772,reaction_2,Phenazine methylsulfate (PMS)
PMID32051772,reaction_2,sodium dithionite
PMID32051772,reaction_3,Phenazine methylsulfate (PMS)
PMID32051772,reaction_3,sodium dithionite
PMID32051772,reaction_5,Axcyt c551
PMID32051772,reaction_6,RpNiR cyt c
PMID32054839,reaction_1,AmCHIL
PMID32054839,reaction_2,PpCHIL
PMID32054839,reaction_3,SmCHIL
PMID32054839,reaction_4,GbCHIL
PMID32054839,reaction_5,OsCHIL
PMID32054839,reaction_6,HmCHIL
PMID32054839,reaction_7,VvCHIL
PMID32054839,reaction_10,GmCHIL
PMID32054864,reaction_1,Lactosylceramide
PMID32054864,reaction_1,Mn2+
PMID32055924,reaction_1,NADPH:cytochrome P450 reductase from Physcomitrella patens
PMID32055924,reaction_2,NADPH:cytochrome P450 reductase from Physcomitrella patens
PMID32056499,reaction_1,CuSO4
PMID32056499,reaction_2,CuSO4
PMID32056499,reaction_3,CuSO4
PMID32056499,reaction_4,CuSO4
PMID32056499,reaction_5,CuSO4
PMID32059844,reaction_1,Mn2+
PMID32060291,reaction_1,β-carotene
PMID32060291,reaction_1,dipalmitoylphosphatidylglycerol (LHG)
PMID32060291,reaction_1,sulfoquinovosyldiacylglycerol (SQD)
PMID32060291,reaction_1,digalactosyldiacylglycerol (DGD)
PMID32060291,reaction_1,"[4Fe-4S] clusters (N6a, N6b, N2)"
PMID32060291,reaction_1,[2Fe-2S] cluster (in Ferredoxin)
PMID32060650,reaction_1,Phenazine ethosulfate (PES)
PMID32060650,reaction_1,15 mM NH4Cl
PMID32060650,reaction_2,Phenazine methosulfate (PMS)
PMID32060650,reaction_2,15 mM NH4Cl
PMID32060650,reaction_3,15 mM NH4Cl
PMID32060650,reaction_4,20 µM Eu(III)
PMID32060694,reaction_1,FMN
PMID32060694,reaction_2,FMN
PMID32060694,reaction_3,FMN
PMID32060694,reaction_4,FMN
PMID32060694,reaction_5,FMN
PMID32060694,reaction_6,FMN
PMID32060694,reaction_7,FMN
PMID32060694,reaction_8,FMN
PMID32060694,reaction_9,FMN
PMID32060694,reaction_10,FMN
PMID32060694,reaction_11,FMN
PMID32060694,reaction_12,FMN
PMID32060694,reaction_13,FMN
PMID32060694,reaction_14,FMN
PMID32060694,reaction_15,FMN
PMID32060694,reaction_16,FMN
PMID32060694,reaction_17,FMN
PMID32060694,reaction_18,FMN
PMID32074393,reaction_1_SfaA,Fe(II)
PMID32074393,reaction_2_ScoE,Fe(II)
PMID32074393,reaction_3_Sav607,Fe(II)
PMID32080177,reaction_1,MnCl2
PMID32085442,reaction_1,ACBP1
PMID32085442,reaction_1,ACBP2
PMID32085896,reaction_1,Mg2+
PMID32085896,reaction_1,Mn2+
PMID32085896,reaction_2,Mg2+
PMID32085896,reaction_2,Mn2+
PMID32085896,reaction_3,Mg2+
PMID32085896,reaction_3,Mn2+
PMID32085896,reaction_4,Mg2+
PMID32085896,reaction_4,Mn2+
PMID32085896,reaction_5,Mg2+
PMID32085896,reaction_5,Mn2+
PMID32085896,reaction_6,Mg2+
PMID32085896,reaction_6,Mn2+
PMID32086045,reaction_1,Pyridoxal 5'-phosphate (PLP)
PMID32090335,reaction_1,Horseradish peroxidase
PMID32092071,reaction_1,Factor 430
PMID32094184,reaction_1,Trinuclear copper center (3 Cu ions)
PMID32094184,reaction_2,Trinuclear copper center (3 Cu ions)
PMID32094184,reaction_3,Trinuclear copper center (3 Cu ions)
