literature_id,reaction_id,reaction_equation,reaction_type_reversible,notes
PMID32027716,reaction_1,Carbamoyl phosphate + L-ornithine -> Citrulline + Inorganic phosphate,Not specified,"Extensive biophysical characterization including thermal shift assays, fluorescence binding assays, SEC-SAXS, and molecular dynamics simulations was performed to investigate the structural and dynamic effects of the mutations."
PMID32027883,reaction_1,"styrene 7,8-oxide + Glutathione -> S-(hydroxyphenylethyl)glutathione",Not specified,"Effectively catalyzed the conjugation of styrene 7,8-oxide with high affinity."
PMID32027883,reaction_2,"styrene 7,8-oxide + Glutathione -> S-(hydroxyphenylethyl)glutathione",Not specified,"Effectively catalyzed the conjugation of styrene 7,8-oxide with the highest affinity among tested enzymes."
PMID32027883,reaction_3,1-iodohexane + Glutathione -> S-hexylglutathione + HI,Not specified,Effectively catalyzed the conjugation of 1-iodohexane with high affinity.
PMID32027883,reaction_4,1-iodohexane + Glutathione -> S-hexylglutathione + HI,Not specified,Effectively catalyzed the conjugation of 1-iodohexane with the highest affinity among tested enzymes.
PMID32027883,reaction_5,"1-chloro-2,4-dinitrobenzene + Glutathione -> S-(2,4-dinitrophenyl)glutathione + HCl",Not specified,Substantially catalyzed the conjugation of CDNB.
PMID32027883,reaction_6,"1-chloro-2,4-dinitrobenzene + Glutathione -> S-(2,4-dinitrophenyl)glutathione + HCl",Not specified,Showed high conjugation activity toward CDNB.
PMID32027883,reaction_7,"1,2-epoxy-3-(p-nitrophenoxy)propane + Glutathione -> S-(2-hydroxy-3-(p-nitrophenoxy)propyl)glutathione",Not specified,Substantially catalyzed the conjugation of EPNPP.
PMID32027883,reaction_8,"1,2-epoxy-3-(p-nitrophenoxy)propane + Glutathione -> S-(2-hydroxy-3-(p-nitrophenoxy)propyl)glutathione",Not specified,Substantially catalyzed the conjugation of EPNPP.
PMID32027883,reaction_9,"1,2-epoxy-3-(p-nitrophenoxy)propane + Glutathione -> S-(2-hydroxy-3-(p-nitrophenoxy)propyl)glutathione",Not specified,Exhibited high conjugation activity toward EPNPP.
PMID32027883,reaction_10,"1,2-epoxy-3-(p-nitrophenoxy)propane + Glutathione -> S-(2-hydroxy-3-(p-nitrophenoxy)propyl)glutathione",Not specified,Exhibited high conjugation activity toward EPNPP.
PMID32027883,reaction_11,"1-chloro-2,4-dinitrobenzene + Glutathione -> S-(2,4-dinitrophenyl)glutathione + HCl",Not specified,Catalyzed the conjugation of CDNB at much lower levels compared to cytosolic GSTs.
PMID32027883,reaction_12,"1,2-epoxy-3-(p-nitrophenoxy)propane + Glutathione -> S-(2-hydroxy-3-(p-nitrophenoxy)propyl)glutathione",Not specified,Catalyzed the conjugation of EPNPP at much lower levels compared to cytosolic GSTs.
PMID32027883,reaction_13,"1-chloro-2,4-dinitrobenzene + Glutathione -> S-(2,4-dinitrophenyl)glutathione + HCl",Not specified,Catalyzed the conjugation of CDNB with low activity levels.
PMID32027883,reaction_14,"1,2-epoxy-3-(p-nitrophenoxy)propane + Glutathione -> S-(2-hydroxy-3-(p-nitrophenoxy)propyl)glutathione",Not specified,Catalyzed the conjugation of EPNPP with low activity levels.
PMID32027883,reaction_15,"styrene 7,8-oxide + Glutathione -> S-(hydroxyphenylethyl)glutathione",Not specified,"Catalyzed the conjugation of styrene 7,8-oxide with low activity levels."
PMID32027883,reaction_16,1-iodohexane + Glutathione -> S-hexylglutathione + HI,Not specified,Catalyzed the conjugation of 1-iodohexane with low activity levels.
PMID32031984,reaction_1,"CMP-N-acetylneuraminate + Galβ1-4GlcNAc-R -> CMP + Neu5Ac-α-2,6-Galβ1-4GlcNAc-R",Not specified,"The study investigated the inhibitory effect of ginsenosides on sialyltransferase activity within living HepG2 cells. The activity was inferred from the level of α2,6-linked sialic acids on the cell surface. Molecular docking studies suggested the compounds occupy the sialic acid binding site of ST6GalI."
PMID32031984,reaction_2,"CMP-N-acetylneuraminate + Galβ1-4GlcNAc-R -> CMP + Neu5Ac-α-2,3-Galβ1-4GlcNAc-R",Not specified,"The study investigated the inhibitory effect of ginsenosides on sialyltransferase activity within living HepG2 cells. The activity was inferred from the level of α2,3-linked sialic acids on the cell surface. The paper notes that inhibition of α2,6-linked sialic acids was generally greater than that of α2,3-linked sialic acids. Molecular docking studies suggested the compounds occupy the peripheral domain of the sialic acid binding site of ST3GalI."
