literature_id,reaction_id,assay_type,assay_details,solvent_buffer,ph,ph_details,temperature_celsius,expression_host,expression_vector,expression_induction
PMID32027716,reaction_1,in vitro,Discontinuous colorimetric assay measuring citrulline production based on the Fearon method.,"50 mM Tris, 20 mM NaCl",8.5,,20.0,Escherichia coli BL21 (DE3) Tuner cells,pCA24N,0.5 mM IPTG at 30°C for 4 h
PMID32027883,reaction_1,in vitro,Kinetic analysis with recombinant protein expressed in E. coli.,250 mM Tris-HCl,7.2,,,Escherichia coli BL21,pET30a,
PMID32027883,reaction_2,in vitro,Kinetic analysis with recombinant protein expressed in E. coli.,250 mM Tris-HCl,7.2,,,Escherichia coli BL21,pET30a,
PMID32027883,reaction_3,in vitro,Kinetic analysis with recombinant protein expressed in E. coli.,100 mM sodium phosphate,7.4,,,Escherichia coli BL21,pET30a,
PMID32027883,reaction_4,in vitro,Kinetic analysis with recombinant protein expressed in E. coli.,100 mM sodium phosphate,7.4,,,Escherichia coli BL21,pET30a,
PMID32027883,reaction_5,in vitro,Enzyme assay with recombinant protein expressed in E. coli.,0.10 mM potassium phosphate buffer,7.4,,25.0,Escherichia coli BL21,pET30a,
PMID32027883,reaction_6,in vitro,Enzyme assay with recombinant protein expressed in E. coli.,0.10 mM potassium phosphate buffer,7.4,,25.0,Escherichia coli BL21,pET30a,
PMID32027883,reaction_7,in vitro,Enzyme assay with recombinant protein expressed in E. coli.,0.10 mM potassium phosphate buffer,7.4,,25.0,Escherichia coli BL21,pET30a,
PMID32027883,reaction_8,in vitro,Enzyme assay with recombinant protein expressed in E. coli.,0.10 mM potassium phosphate buffer,7.4,,25.0,Escherichia coli BL21,pET30a,
PMID32027883,reaction_9,in vitro,Enzyme assay with recombinant protein expressed in E. coli.,0.10 mM potassium phosphate buffer,7.4,,25.0,Escherichia coli BL21,pET30a,
PMID32027883,reaction_10,in vitro,Enzyme assay with recombinant protein expressed in E. coli.,0.10 mM potassium phosphate buffer,7.4,,25.0,Escherichia coli BL21,pET30a,
PMID32027883,reaction_11,in vitro,Enzyme assay with recombinant protein expressed in E. coli.,0.10 mM potassium phosphate buffer,7.4,,25.0,Escherichia coli BL21,pET30a,
PMID32027883,reaction_12,in vitro,Enzyme assay with recombinant protein expressed in E. coli.,0.10 mM potassium phosphate buffer,7.4,,25.0,Escherichia coli BL21,pET30a,
PMID32027883,reaction_13,in vitro,Enzyme assay with recombinant protein expressed in E. coli.,0.10 mM potassium phosphate buffer,7.4,,25.0,Escherichia coli BL21,pET30a,
PMID32027883,reaction_14,in vitro,Enzyme assay with recombinant protein expressed in E. coli.,0.10 mM potassium phosphate buffer,7.4,,25.0,Escherichia coli BL21,pET30a,
PMID32027883,reaction_15,in vitro,Enzyme assay with recombinant protein expressed in E. coli.,250 mM Tris-HCl,7.2,,,Escherichia coli BL21,pET30a,
PMID32027883,reaction_16,in vitro,Enzyme assay with recombinant protein expressed in E. coli.,100 mM sodium phosphate,7.4,,,Escherichia coli BL21,pET30a,
PMID32031984,reaction_1,in vivo,"Inhibition study in HepG2 human liver cancer cells. Cell surface α2,6-sialylation levels were measured by flow cytometry using FITC-labeled Sambucus nigra lectin (SNA).",Hanks solution containing 4% bovine serum albumin and 0.1% sodium azide,,Not specified for the assay; cell culture at 37°C implies physiological pH.,37.0,HepG2 cells (endogenous expression),,
PMID32031984,reaction_2,in vivo,"Inhibition study in HepG2 human liver cancer cells. Cell surface α2,3-sialylation levels were measured by flow cytometry using FITC-labeled Maackia amurensis lectin (MAL).",Hanks solution containing 4% bovine serum albumin and 0.1% sodium azide,,Not specified for the assay; cell culture at 37°C implies physiological pH.,37.0,HepG2 cells (endogenous expression),,
PMID32033404,reaction_1,in vitro,Hydrogen/deuterium exchange mass spectrometry (HDX-MS) was used to monitor structural changes of the enzyme during the reaction with its insoluble substrate.,50 mM sodium acetate buffer,6.0,,50.0,Pichia pastoris X-33,,Expressed under control of the methanol-dependent alcohol oxidase (AOX) promoter.
PMID32033404,reaction_2,in vitro,Analysis of oxidative modifications by LC-MS/MS after incubation with ascorbic acid to characterize auto-oxidative damage.,50 mM sodium acetate buffer,6.0,,50.0,Pichia pastoris X-33,,Expressed under control of the methanol-dependent alcohol oxidase (AOX) promoter.
PMID32034864,reaction_1,in vitro,Biochemical activity assay measuring pyrophosphate release via malachite green method.,"50 mM MES, 50 mM CAPS, 100 mM Tris, 10 mM MgCl2, 5 mU/µl inorganic pyrophosphatase",7.5,,30.0,"Escherichia coli BL 21 cells (DE3, Agilent)",pET300/NT-DEST,"Auto-induction media, 4h at 37°C followed by 16h at 21°C."
PMID32034864,reaction_2,in vitro,Biochemical activity assay measuring pyrophosphate release via malachite green method.,"50 mM MES, 50 mM CAPS, 100 mM Tris, 10 mM MgCl2, 5 mU/µl inorganic pyrophosphatase",7.5,,30.0,"Escherichia coli BL 21 cells (DE3, Agilent)",pET300/NT-DEST,"Auto-induction media, 4h at 37°C followed by 16h at 21°C."
PMID32034864,reaction_3,in vitro,Biochemical activity assay measuring pyrophosphate release via malachite green method.,"50 mM MES, 50 mM CAPS, 100 mM Tris, 10 mM MgCl2, 5 mU/µl inorganic pyrophosphatase",7.5,,30.0,"Escherichia coli BL 21 cells (DE3, Agilent)",pET300/NT-DEST,"Auto-induction media, 4h at 37°C followed by 16h at 21°C."
PMID32034864,reaction_4,in vitro,Biochemical activity assay measuring pyrophosphate release via malachite green method.,"50 mM MES, 50 mM CAPS, 100 mM Tris, 10 mM MgCl2, 5 mU/µl inorganic pyrophosphatase",7.5,,30.0,"Escherichia coli BL 21 cells (DE3, Agilent)",pET300/NT-DEST,"Auto-induction media, 4h at 37°C followed by 16h at 21°C."
