literature_id,reaction_id,conversion_rate,conversion_rate_unit,conversion_rate_error,product_yield,product_yield_unit,product_yield_error,regioselectivity,stereoselectivity,enantiomeric_excess,enantiomeric_excess_unit
PMID32027716,reaction_1,,,,,,,,,,
PMID32027883,reaction_1,,,,,,,,,,
PMID32027883,reaction_2,,,,,,,,,,
PMID32027883,reaction_3,,,,,,,,,,
PMID32027883,reaction_4,,,,,,,,,,
PMID32027883,reaction_5,,,,,,,,,,
PMID32027883,reaction_6,,,,,,,,,,
PMID32027883,reaction_7,,,,,,,,,,
PMID32027883,reaction_8,,,,,,,,,,
PMID32027883,reaction_9,,,,,,,,,,
PMID32027883,reaction_10,,,,,,,,,,
PMID32027883,reaction_11,,,,,,,,,,
PMID32027883,reaction_12,,,,,,,,,,
PMID32027883,reaction_13,,,,,,,,,,
PMID32027883,reaction_14,,,,,,,,,,
PMID32027883,reaction_15,,,,,,,,,,
PMID32027883,reaction_16,,,,,,,,,,
PMID32031984,reaction_1,,,,,,,,,,
PMID32031984,reaction_2,,,,,,,,,,
PMID32033404,reaction_1,,,,,,,,,,
PMID32033404,reaction_2,,,,,,,,,,
PMID32034864,reaction_1,,,,,,,,,,
PMID32034864,reaction_2,,,,,,,,,,
PMID32034864,reaction_3,,,,,,,,,,
PMID32034864,reaction_4,,,,,,,,,,
PMID32034864,reaction_5,,,,,,,,,,
PMID32034864,reaction_6,,,,,,,,,,
PMID32034864,reaction_7,,,,,,,,,,
PMID32034864,reaction_8,,,,,,,,,,
PMID32034864,reaction_9,,,,,,,,,,
PMID32034864,reaction_10,,,,,,,,,,
PMID32035229,reaction_1,,,,,,,,,,
PMID32035229,reaction_2,,,,,,,,,,
PMID32035229,reaction_3,,,,,,,,,,
PMID32035229,reaction_4,,,,,,,,,,
PMID32035229,reaction_5,,,,,,,,,,
PMID32035229,reaction_6,,,,,,,,,,
PMID32035229,reaction_7,,,,,,,,,,
PMID32035229,reaction_8,,,,,,,,,,
PMID32035229,reaction_9,,,,,,,,,,
PMID32035229,reaction_10,,,,,,,,,,
PMID32035229,reaction_11,,,,,,,,,,
PMID32035229,reaction_12,,,,,,,,,,
PMID32035229,reaction_13,,,,,,,,,,
PMID32035229,reaction_14,,,,,,,,,,
PMID32035229,reaction_15,,,,,,,,,,
PMID32035229,reaction_16,,,,,,,,,,
PMID32035229,reaction_17,,,,,,,,,,
PMID32035229,reaction_18,,,,,,,,,,
PMID32035229,reaction_19,,,,,,,,,,
PMID32036315,reaction_1,,,,,,,,,,
PMID32036315,reaction_2,,,,,,,,,,
PMID32036315,reaction_3,,,,,,,,,,
PMID32036315,reaction_4,,,,,,,,,,
PMID32036315,reaction_5,,,,,,,,,,
PMID32039339,reaction_1,,,,,,,,,,
PMID32039339,reaction_2,,,,,,,,,,
PMID32039339,reaction_3,,,,,,,,,,
PMID32039339,reaction_4,,,,,,,,,,
PMID32039339,reaction_5,,,,,,,,,,
PMID32039339,reaction_6,,,,,,,,,,
PMID32039339,reaction_7,,,,,,,,,,
PMID32039535,reaction_1,,,,,,,,,,
PMID32041093,reaction_1,,,,,,,,,,
PMID32041093,reaction_2,,,,,,,,,,
PMID32041093,reaction_3,,,,,,,,,,
PMID32042062,reaction_1,,,,,,,,,,
PMID32042062,reaction_2,,,,,,,,,,
PMID32042062,reaction_3,,,,,,,,,,
PMID32042062,reaction_4,,,,,,,,,,
PMID32042062,reaction_5,,,,,,,,,,
PMID32042199,reaction_1,,,,,,,,,,
PMID32042199,reaction_2,,,,,,,,,,
PMID32044025,reaction_1,99.0,%,,0.6,g/L/h,,Regioselective hydroxylation at C6 of 3-cyanopyridine.,,,
PMID32044030,reaction_1,60.0,%,,,,,,"Stereospecific reduction to form a single product, 5β-pregnane-3,20-dione, with no 5α-pregnane-3,20-dione detected.",,
PMID32044030,reaction_2,,,,,,,,,,
PMID32044030,reaction_3,,,,,,,,,,
PMID32044030,reaction_4,,,,,,,,,,
PMID32044030,reaction_5,,,,,,,,,,
PMID32044030,reaction_6,,,,,,,,,,
PMID32044030,reaction_7,,,,,,,,,,
PMID32044030,reaction_8,,,,,,,,,,
PMID32044030,reaction_9,,,,,,,,,,
PMID32044699,reaction_1,,,,,,,,,,
PMID32050067,reaction_1,,,,,,,The enzyme is specific for acyl-ACP over acyl-CoA as the acyl donor.,,,
PMID32050067,reaction_2,,,,,,,,,,
PMID32050067,reaction_3,,,,,,,,,,
PMID32050067,reaction_4,,,,,,,,,,
PMID32050067,reaction_5,,,,,,,,,,
PMID32050067,reaction_6,,,,,,,,,,
PMID32051560,reaction_1,97.0,%,,,,,,,,
PMID32051560,reaction_2,50.0,%,,,,,,,,
PMID32051560,reaction_3,,,,,,,,,,
PMID32051560,reaction_4,,,,,,,,,,
PMID32051560,reaction_5,,,,,,,,,,
PMID32051772,reaction_1,,,,,,,,,,
PMID32051772,reaction_2,,,,,,,,,,
PMID32051772,reaction_3,,,,,,,,,,
PMID32051772,reaction_4,,,,,,,,,,
PMID32051772,reaction_5,,,,,,,,,,
PMID32051772,reaction_6,,,,,,,,,,
PMID32051772,reaction_7,,,,,,,,,,
PMID32054270,reaction_1,,,,,,,,,,
PMID32054270,reaction_2,,,,,,,,,,
PMID32054270,reaction_3,,,,,,,,,,
PMID32054270,reaction_4,,,,,,,,,,
PMID32054270,reaction_5,,,,,,,,,,
PMID32054270,reaction_6,,,,,,,,,,
PMID32054270,reaction_7,,,,,,,,,,
PMID32054270,reaction_8,,,,,,,,,,
PMID32054839,reaction_1,,,,,,,,,,
PMID32054839,reaction_2,,,,,,,,,,
PMID32054839,reaction_3,,,,,,,,,,
PMID32054839,reaction_4,,,,,,,,,,
PMID32054839,reaction_5,,,,,,,,,,
PMID32054839,reaction_6,,,,,,,,,,
PMID32054839,reaction_7,,,,,,,,,,
PMID32054839,reaction_8,,,,,,,,,,
PMID32054839,reaction_9,,,,,,,,,,
PMID32054839,reaction_10,,,,,,,,,,
PMID32054864,reaction_1,,,,,,,,,,
PMID32054864,reaction_2,,,,,,,,,,
PMID32054864,reaction_3,,,,,,,,,,
PMID32054864,reaction_4,,,,,,,,,,
PMID32055924,reaction_1,,,,,,,,,,
PMID32055924,reaction_2,,,,,,,,,,
PMID32056499,reaction_1,,,,,,,,,,
PMID32056499,reaction_2,94.0,%,,,,,,,,
PMID32056499,reaction_3,94.0,%,,,,,,,,
PMID32056499,reaction_4,97.0,%,,,,,,,,
PMID32056499,reaction_5,73.0,%,,,,,,,,
PMID32057065,reaction_1,,,,,,,,,,
PMID32057065,reaction_2,,,,,,,,,,
PMID32059844,reaction_1,,,,,,,,,,
PMID32060291,reaction_1,,,,,,,,,,
PMID32060650,reaction_1,,,,,,,,,,
PMID32060650,reaction_2,,,,,,,,,,
PMID32060650,reaction_3,,,,,,,,,,
PMID32060650,reaction_4,,,,,,,,,,
PMID32060694,reaction_1,,,,,,,,,,
PMID32060694,reaction_2,,,,,,,,,,
PMID32060694,reaction_3,,,,,,,,,,
PMID32060694,reaction_4,,,,,,,,,,
PMID32060694,reaction_5,,,,,,,,,,
PMID32060694,reaction_6,,,,,,,,,,
PMID32060694,reaction_7,,,,,,,,,,
PMID32060694,reaction_8,,,,,,,,,,
PMID32060694,reaction_9,,,,,,,,,,
PMID32060694,reaction_10,,,,,,,,,,
PMID32060694,reaction_11,,,,,,,,,,
PMID32060694,reaction_12,,,,,,,,,,
PMID32060694,reaction_13,,,,,,,,,,
PMID32060694,reaction_14,,,,,,,,,,
PMID32060694,reaction_15,,,,,,,,,,
