literature_id,reaction_id,inhibitor_name,inhibition_type,inhibitor_smiles,synonyms,activity_qualitative,inhibition_qualitative,details,notes
PMID32031984,reaction_1,20(S)-ginsenoside Rg3,,CC(=CCC[C@](C)(O)[C@H]1CC[C@@]2(C)[C@H]1[C@H](O)C[C@H]1[C@H]2CC[C@]2(C)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C(C)(C)CC[C@H]12)C,,,"Reduced the percentage of SNA-I positive HepG2 cells from ~95% (control) to ~60% at 100 µM concentration after 24h incubation, indicating inhibition of α2,6-sialylation.",,
PMID32031984,reaction_1,20(R)-ginsenoside Rg3,,CC(=CCC[C@@](C)(O)[C@H]1CC[C@@]2(C)[C@H]1[C@H](O)C[C@H]1[C@H]2CC[C@]2(C)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C(C)(C)CC[C@H]12)C,,,"Reduced the percentage of SNA-I positive HepG2 cells from ~95% (control) to ~55% at 100 µM concentration after 24h incubation, indicating inhibition of α2,6-sialylation.",,
PMID32031984,reaction_1,20(S)-ginsenoside Rh2,,CC(=CCC[C@](C)(O)[C@H]1CC[C@@]2(C)[C@H]1[C@H](O)C[C@H]1[C@H]2CC[C@]2(C)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C(C)(C)CC[C@H]12)C,,,Showed the most significant inhibition. Reduced the percentage of SNA-I positive HepG2 cells from ~95% (control) to ~20% at 100 µM concentration after 24h incubation.,,
PMID32031984,reaction_1,20(R)-ginsenoside Rh2,,CC(=CCC[C@@](C)(O)[C@H]1CC[C@@]2(C)[C@H]1[C@H](O)C[C@H]1[C@H]2CC[C@]2(C)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C(C)(C)CC[C@H]12)C,,,"Reduced the percentage of SNA-I positive HepG2 cells from ~95% (control) to ~40% at 100 µM concentration after 24h incubation, indicating inhibition of α2,6-sialylation.",,
PMID32031984,reaction_2,20(S)-ginsenoside Rg3,,CC(=CCC[C@](C)(O)[C@H]1CC[C@@]2(C)[C@H]1[C@H](O)C[C@H]1[C@H]2CC[C@]2(C)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C(C)(C)CC[C@H]12)C,,,"Reduced the percentage of MAL-II positive HepG2 cells from ~25% (control) to ~18% at 100 µM concentration after 24h incubation, indicating inhibition of α2,3-sialylation.",,
PMID32031984,reaction_2,20(R)-ginsenoside Rg3,,CC(=CCC[C@@](C)(O)[C@H]1CC[C@@]2(C)[C@H]1[C@H](O)C[C@H]1[C@H]2CC[C@]2(C)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C(C)(C)CC[C@H]12)C,,,"Reduced the percentage of MAL-II positive HepG2 cells from ~25% (control) to ~15% at 100 µM concentration after 24h incubation, indicating inhibition of α2,3-sialylation.",,
PMID32031984,reaction_2,20(S)-ginsenoside Rh2,,CC(=CCC[C@](C)(O)[C@H]1CC[C@@]2(C)[C@H]1[C@H](O)C[C@H]1[C@H]2CC[C@]2(C)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C(C)(C)CC[C@H]12)C,,,"Reduced the percentage of MAL-II positive HepG2 cells from ~25% (control) to ~10% at 100 µM concentration after 24h incubation, indicating inhibition of α2,3-sialylation.",,
PMID32031984,reaction_2,20(R)-ginsenoside Rh2,,CC(=CCC[C@@](C)(O)[C@H]1CC[C@@]2(C)[C@H]1[C@H](O)C[C@H]1[C@H]2CC[C@]2(C)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C(C)(C)CC[C@H]12)C,,,"Reduced the percentage of MAL-II positive HepG2 cells from ~25% (control) to ~12% at 100 µM concentration after 24h incubation, indicating inhibition of α2,3-sialylation.",,
PMID32034864,reaction_1,Aclonifen,Competitive (assumed),,,,,,
PMID32034864,reaction_2,Aclonifen,Competitive (assumed),,,,,,
