literature_id,reaction_id,inhibitor_name,parameter_type,value,unit,error_margin,thermodynamics
PMID32034864,reaction_1,Aclonifen,ic50,0.25,µM,,
PMID32034864,reaction_1,Aclonifen,ki,20.0,nM,,
PMID32034864,reaction_2,Aclonifen,ic50,0.91,µM,,
PMID32034864,reaction_2,Aclonifen,ki,60.0,nM,,
PMID32039535,reaction_1,Physcion,ic50,38.5,µM,,
PMID32039535,reaction_1,S3,ic50,17.8,µM,,
PMID32039535,reaction_1,N-Benzoylindole,ic50,2.75,µM,,
PMID32039535,reaction_1,N-(4-chlorobenzoyl) indole,ic50,2.19,µM,,
PMID32039535,reaction_1,1H-Indol-1-il(tiyofen-2-il)methanon,ic50,3.36,µM,,
PMID32051772,reaction_2,Nitrite,ki,130,mM,± 80,
PMID32051772,reaction_7,Nitrite,ki,18,mM,± 6,
PMID32059844,reaction_1,O-isobutenyl oxalylhydroxamate,ic50,2.9,mM,,
PMID32059844,reaction_1,O-isobutenyl oxalylhydroxamate,ki,1.86,mM,± 0.23,
PMID32086051,reaction_1,Epalrestat,ic50,0.87,µM,,
PMID32086051,reaction_1,Compound 6g,ic50,0.04,µM,,
PMID32086051,reaction_1,Compound 6e,ic50,0.06,µM,,
PMID32086051,reaction_1,Compound 6i,ic50,0.08,µM,,
PMID32086051,reaction_1,Compound 6h,ic50,0.36,µM,,
PMID32086051,reaction_1,Compound 6f,ic50,0.64,µM,,
PMID32086051,reaction_1,Compound 6j,ic50,0.76,µM,,
PMID32086051,reaction_1,Compound 6c,ic50,0.87,µM,,
PMID32086051,reaction_1,Compound 6a,ic50,0.9,µM,,
PMID32086051,reaction_1,Compound 6k,ic50,0.98,µM,,
PMID32086051,reaction_1,Compound 6l,ic50,1.1,µM,,
PMID32086051,reaction_1,Compound 6b,ic50,1.12,µM,,
PMID32086051,reaction_1,Compound 6d,ic50,1.36,µM,,
PMID32090335,reaction_1,Histamine,ki,5.71,mM,± 0.83,
PMID32094184,reaction_1,Cyanide,ki,1.4,µM,,
PMID32094184,reaction_1,Cyanate,kic,0.9,mM,,
PMID32094184,reaction_1,Azide,ic50,60.0,mM,,
PMID32094184,reaction_2,Cyanide,ki,1.4,µM,,
PMID32094184,reaction_2,Cyanate,kic,0.9,mM,,
PMID32094184,reaction_2,Azide,ic50,60.0,mM,,
PMID32094184,reaction_3,Cyanide,ki,1.4,µM,,
PMID32094184,reaction_3,Cyanate,kic,0.9,mM,,
PMID32094184,reaction_3,Azide,ic50,60.0,mM,,
PMID32113843,reaction_1,Compound 1,ic50,16.0,µM,,
PMID32113843,reaction_1,Compound 4 (racemic),ic50,1.6,µM,,
PMID32113843,reaction_1,Compound 5 (R-enantiomer),ic50,0.88,µM,,
PMID32113843,reaction_1,Compound 6 (S-enantiomer),ic50,6.01,µM,,
PMID32113843,reaction_1,Compound 7 (racemic),ic50,8.0,µM,,
PMID32113843,reaction_1,Compound 7E1,ic50,4.37,µM,,
PMID32113843,reaction_1,Compound 7E2,ic50,97.0,µM,,
PMID32113843,reaction_1,Compound 8 (racemic),ic50,0.81,µM,,
PMID32113843,reaction_1,Compound 9E1,ic50,4.5,µM,,
PMID32113843,reaction_1,Compound 9E2,ic50,74.9,µM,,
PMID32113843,reaction_1,Compound 10E1,ic50,2.4,µM,,
PMID32113843,reaction_1,Compound 10E2,ic50,96.5,µM,,
PMID32113843,reaction_1,Compound 11E2,ic50,15.5,µM,,
PMID32146179,reaction_1,Compound 5d,ic50,2156.1,µM,,
PMID32146179,reaction_1,Compound 5e,ic50,203.4,µM,,
PMID32146179,reaction_1,Compound 5l,ic50,125.2,µM,,
PMID32146179,reaction_1,Compound 5m,ic50,82.8,µM,,
PMID32146179,reaction_1,Compound 5o,ic50,12.4,µM,,
PMID32146179,reaction_1,Vancomycin,ic50,1.01,µM,,
PMID32155529,reaction_1_in_vitro,Compound 5,ic50,9.32,µM,,
PMID32155529,reaction_1_in_vitro,Compound 13a,ic50,,µM,,
PMID32155529,reaction_1_in_vitro,Compound 13b,ic50,5.39,µM,,
PMID32155529,reaction_1_in_vitro,Compound 14a,ic50,,µM,,
PMID32155529,reaction_1_in_vitro,Compound 14b,ic50,,µM,,
PMID32155529,reaction_1_in_vitro,Compound 27a,ic50,0.3102,µM,,
PMID32155529,reaction_1_in_vitro,Compound 27b,ic50,0.3353,µM,,
PMID32155529,reaction_1_in_vitro,Compound 27c,ic50,0.2371,µM,,
PMID32155529,reaction_1_in_vitro,Compound 27d,ic50,0.5716,µM,,
PMID32155529,reaction_1_in_vitro,Compound 27e,ic50,0.2382,µM,,
PMID32155529,reaction_1_in_vitro,Compound 27f,ic50,1.3506,µM,,
PMID32155529,reaction_1_in_vitro,Compound 27g,ic50,,µM,,
PMID32155529,reaction_1_in_vitro,Compound 27h,ic50,,µM,,
PMID32155529,reaction_1_in_vitro,Compound 27i,ic50,,µM,,
PMID32155529,reaction_1_in_vitro,Compound 27j,ic50,0.8507,µM,,
PMID32155529,reaction_1_in_vitro,Compound 27k,ic50,,µM,,
PMID32155529,reaction_1_in_vitro,Compound 27l,ic50,,µM,,
PMID32155529,reaction_1_in_vitro,Compound 27m,ic50,,µM,,
PMID32155529,reaction_1_in_vitro,Compound 27n,ic50,,µM,,
PMID32155529,reaction_1_in_vitro,Compound 27o,ic50,0.1083,µM,,
PMID32155529,reaction_1_in_vitro,Compound 27p,ic50,2.2359,µM,,
PMID32155529,reaction_1_in_vitro,Compound 27q,ic50,0.3479,µM,,
PMID32155529,reaction_1_in_vitro,Compound 27r,ic50,0.2004,µM,,
PMID32155529,reaction_1_in_vitro,Compound 27s,ic50,,µM,,
PMID32155529,reaction_1_in_vitro,Compound 27t,ic50,0.232,µM,,
PMID32155529,reaction_1_in_vitro,Compound 27u,ic50,,µM,,
PMID32155529,reaction_1_in_vitro,Compound 27v,ic50,0.073,µM,,
PMID32155529,reaction_1_in_vitro,Compound 27w,ic50,0.8507,µM,,
PMID32155529,reaction_1_in_vitro,Compound 27x,ic50,0.2515,µM,,
PMID32155529,reaction_1_in_vitro,Compound 27y,ic50,0.3234,µM,,
PMID32155529,reaction_1_in_vitro,Compound 27z,ic50,0.1912,µM,,
PMID32155529,reaction_1_in_vitro,Compound 27aa,ic50,0.5409,µM,,
PMID32155529,reaction_1_in_vitro,Compound 27ab,ic50,0.0244,µM,,
PMID32155529,reaction_1_in_vitro,Compound 27ac,ic50,0.0932,µM,,
PMID32155529,reaction_1_in_vitro,Compound 33a,ic50,,µM,,
PMID32155529,reaction_1_in_vitro,Compound 33b,ic50,,µM,,
PMID32155529,reaction_1_in_vitro,CPI-455,ic50,10.52,nM,± 0.23,
PMID32159929,reaction_1_cyt_bo3,HQNO,ic50,3.2,µM,± 0.7,
PMID32159929,reaction_1_cyt_bo3,HNQ-12,ic50,5.7,µM,± 0.6,
PMID32159929,reaction_1_cyt_bo3,HNQ-6,ic50,225.0,µM,± 9,
PMID32170014,reaction_1,NB-598,ic50,6.1,nM,,
